title,category,price_gbp,price_inr,rating,in_stock
A Light in the Attic,Poetry,,,3,1
Tipping the Velvet,Historical Fiction,,,1,1
Soumission,Fiction,,,1,1
Sharp Objects,Mystery,,,4,1
Sapiens: A Brief History of Humankind,History,,,5,1
The Requiem Red,Young Adult,,,1,1
The Dirty Little Secrets of Getting Your Dream Job,Business,,,4,1
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,,,3,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,,,4,1
The Black Maria,Poetry,,,1,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,,,2,1
Shakespeare's Sonnets,Poetry,,,4,1
Set Me Free,Young Adult,,,5,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,,,5,1
Rip it Up and Start Again,Music,,,5,1
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,,,3,1
Olio,Poetry,,,1,1
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,,,1,1
Libertarianism for Beginners,Politics,,,2,1
It's Only the Himalayas,Travel,,,2,1
In Her Wake,Thriller,,,1,1
How Music Works,Music,,,2,1
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,,,3,1
Chase Me (Paris Nights #2),Romance,,,5,1
Black Dust,Romance,,,5,1
Birdsong: A Story in Pictures,Childrens,,,3,1
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,,,3,1
Aladdin and His Wonderful Lamp,Default,,,3,1
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,,,5,1
Wall and Piece,Art,,,4,1
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,,,5,1
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,,,3,1
The Elephant Tree,Thriller,,,5,1
The Bear and the Piano,Childrens,,,1,1
Sophie's World,Philosophy,,,5,1
Penny Maybe,Default,,,3,1
Maude (1883-1993):She Grew Up with the country,Default,,,2,1
"In a Dark, Dark Wood",Mystery,,,1,1
Behind Closed Doors,Thriller,,,4,1
You can't bury them all: Poems,Poetry,,,2,1
Slow States of Collapse: Poems,Poetry,,,3,1
Reasons to Stay Alive,Nonfiction,,,2,1
Private Paris (Private #10),Fiction,,,5,1
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,,,5,1
Without Borders (Wanderlove #1),New Adult,,,2,1
When We Collided,Contemporary,,,1,1
"We Love You, Charlie Freeman",Fiction,,,5,1
Untitled Collection: Sabbath Poems 2014,Poetry,,,4,1
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,,,4,1
Unicorn Tracks,Fantasy,,,3,1
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,,,1,1
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,,,1,1
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,,,3,1
This One Summer,Sequential Art,,,4,1
Thirst,Fiction,,,5,1
The Torch Is Passed: A Harding Family Story,Add a comment,,,1,1
The Secret of Dreadwillow Carse,Childrens,,,1,1
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,,,1,1
The Past Never Ends,Mystery,,,4,1
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,,,3,1
The Nameless City (The Nameless City #1),Sequential Art,,,4,1
The Murder That Never Was (Forensic Instincts #5),Fiction,,,3,1
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,,,4,1
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,,,4,1
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,,,3,1
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,,,5,1
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,,,1,1
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,,,1,1
The Death of Humanity: and the Case for Life,Philosophy,,,4,1
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,,,3,1
The Art Forger,Add a comment,,,3,1
